"Add New Row","Neue Zeile hinzufügen"
"An error occurred while saving the file(s).","Während des Speicherns ist ein Fehler aufgetreten."
"Availability: In stock.","Verfügbarkeit: auf Lager"
"Availability: Out of stock.","Verfügbarkeit: ausverkauft"
"Back","Zurück"
"Can\'t connect to remote host, error: %s","Verbindung zum Remot Host fehlgeschlagen, Fehler %s"
"Canceled","abgebrochen"
"Date","Datum"
"Default Link Title","Standard Link Title"
"Default Maximum Number of Downloads","Standardwert für die maximale Anzahl an Downloads"
"Default Sample Title","Standard Beispiel Title"
"Disable Guest Checkout if cart contains package items","Den Checkout für Gäste deaktivieren, wenn Warenkorb Pakete enthällt"
"Package Information","Paket-Informationen"
"Package Product","Paket "
"Package Product Options","Paket Optionen"
"Package product Section","Paket Sektion"
"Excl. Tax","zzgl. Steuern"
"File","Datei "
"File does not exists","Datei existiert nicht"
"From:","Von:"
"Gift Message","Geschenk-Nachricht"
"Go to <a href=""%s"">My Package Products</a>","Klicken Sie auf <a href=""%s"">Meine Pakete</a>"
"Guest checkout will only work with shareable","Checkout als Gast ist nur gemeinsam möglich"
"Incl. Tax","inkl. Steuern"
"Invalid download URL host","Ungültiger Download Host"
"Invalid download URL scheme","Ungültiges URL Schema"
"Invalid download link type","Ungültiger Downloadlink"
"Invoiced","In Rechnung gestellt"
"Link has expired.","Link ist nicht mehr gültig."
"Link is not available.","Link ist nicht verfügbar."
"Links can be purchased separately","Links können separat gekauft werden."
"Max. Downloads","Max. Downloads"
"Message:","Nachricht:"
"My Package Products","Meine Pakete"
"Open Links in New Window","Links in neuem Fenster öffnen"
"Order #","Bestellnummer"
"Order Item Status to enable Downloads","Bestellstatus um Downloads freizuschalten"
"Ordered","bestellt"
"Pending","ausstehend"
"Please log in to download your product.","Bitte loggen Sie sich ein, um das Produkt herunter zu laden."
"Please set resource file and link type","Bitte geben Sie die Datei und den Link an. "
"Please specify product link(s).","Bitte spezifizieren Sie den Produktlink."
"Price","Preis"
"Refunded","zurückerstattet"
"Remaining Downloads","Verbleibende Downloads"
"Remove item","Produkt entfernen"
"Requested link doesn't exist.","Der angefragte Link existiert nicht."
"Sample","Beispiel"
"Shareable","verteibar"
"Shipped","versandt"
"Sorry, the was an error getting requested content. Please contact store owner.","Bitte entschuldigen Sie die Unannehmlichkeit. Bei der von Ihnen getätigten Anfrage ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shop-Betreiber."
"Sorry, there was an error getting requested content","Bitte entschuldigen Sie die Unannehmlichkeit. Bei der von Ihnen getätigten Anfrage ist ein Fehler aufgetreten.  "
"Sorry, there was an error getting requested content. Please contact store owner.","Bitte entschuldigen Sie die Unannehmlichkeit. Bei der von Ihnen getätigten Anfrage ist ein Fehler aufgetreten. Bitte kontaktieren Sie den Shop-Betreiber."
"Sort Order","Bestellung sortieren"
"Start Download","Download starten"
"Status","Status"
"Title","Titel"
"To:","An:"
"U","U"
"Unlimited","unbegrenzt"
"View Order","Bestellung anzeigen"
"You have not purchased any package products yet.","Sie haben bislang noch keine Pakete bezogen."
"attachment","Anhang"
"download","Download  "
"inline","Inline"
"sample","Beispiel"
